,product_name,Ram,New_back_camera,battery,Internal_storage,display,rating,no_of_ratings,no_of_reviews,price
323,"Redmi 7 (Comet Blue, 32 GB)",2,12,4000,32,6.26,4.3,13130,1025,7995
324,Lava A1200,32,0,1750,24,1.8,4.2,444,48,1249
325,"Asus Padfone Mini (White, 8 GB)",1,8,1200,8,4,3.5,50,13,12999
326,"Samsung Galaxy S10 Plus (Ceramic Black, 512 GB)",8,16,4100,512,6.4,4.6,1176,125,73800
327,"LG L 80 Dual (White, 4 GB)",1,5,2540,4,5,3.7,70,13,14162
328,"Moto E 4th Gen (Iron Gray, 16 GB)",2,8,2800,16,5,4.0,1513,172,8499
329,Gfive L228,32,0,1000,32,1.8,3.8,12,0,1099
330,"LG L90 Dual (White, 8 GB)",1,8,2540,8,4,4.2,443,145,15532
331,Lava 34 Super,32,1,2500,32,2.4,4.0,779,87,1699
332,MTR Shakti,32,0,,32,1.8,4.2,19,3,599
333,MTR Shakti,32,0,,32,1.77,4.2,19,3,599
334,Itel Muzik 400,4,0,3000,4,2.4,4.1,615,79,1549
335,"Nokia 5.1 (Black, 32 GB)",3,16,2970,32,5.5,4.0,328,22,12450
336,Karbonn KX1,32,0,,32,1.8,3.9,710,63,785
337,"OPPO F11 Pro (Aurora Green, 64 GB)",6,48,4000,64,6.5,4.4,117059,11254,19999
338,"Asus Zenfone Selfie (Silver, 16 GB)",2,13,3000,16,5.5,3.9,6566,895,14999
339,Lava One,32,0,1000,25,2.4,4.1,6497,755,1399
340,"Samsung Galaxy Note 9 (Metallic Copper, 128 GB)",6,12,4000,128,6.4,4.6,2084,273,73600
341,Lava A5,32,0,1000,24,2.4,4.1,977,107,1349
342,I Kall K22 Combo of Two Mobiles,32,0,,64,1.8,3.4,100,9,1198
343,I Kall K25 Combo of Two Mobiles,32,0,1000,64,1.8,3.5,1111,103,1199
344,Lava 34 SUPER,512,1,2500,32,2.4,3.9,139,11,1710
345,"Vivo V5s Perfect Selfie (Crown Gold, 64 GB)",4,13,3000,64,5.5,4.3,15586,2719,18990
346,Heemax H1Shine Combo of Two Mobiles,32,0,1000,32,1.8,3.0,4,1,1099
347,Heemax H1Shine Combo of Two Mobiles,32,0,1000,32,1.8,3.0,4,1,1099
348,"Samsung Galaxy A70s (Prism Crush Red, 128 GB)",6,64,4500,128,6.7,4.2,931,124,25990
349,EcoTel E12,32,0,1000,64,1.8,3.3,679,81,580
350,MU M370,32,0,,32,1.44,4.4,303,17,980
351,F-Fook F22,1,0,1400,20,2.4,3.6,9,1,849
352,Callbar A35S,0,0,,,1.8,3.4,322,19,595
353,I Kall K36 Combo of Two Mobiles,32,0,1800,64,2.4,3.1,36,2,1899
354,Forme Duos N1,32,0,1050,32,1.8,3.3,18,2,799
355,Peace P1,32,0,,32,1.8,3.6,1582,209,750
356,I Kall K99 Combo Of Two Mobile,32,0,1000,64,1.8,3.5,758,91,1099
357,I Kall K 46,32,0,,64,1.8,3.8,12,1,649
358,"Redmi Note 5 Pro (Black, 64 GB)",6,12,4000,64,5.99,4.5,254093,25272,13999
359,Detel D1 MAX,32,0,1500,512,2.8,3.6,129,13,999
360,ITEL 2171,32,0,1000,32,1.8,3.0,6,1,999
361,Trio T3 Selfie,32,1,1000,64,1.77,3.3,702,106,673
362,Heemax H2 Combo of Two mobiles,32,0,1000,32,1.8,2.3,3,0,1099
363,"Samsung Galaxy J2 Core (Black, 16 GB)",1,8,2600,16,5,4.2,7066,575,6990
364,"Vivo Y91 (Nebula Purple, 32 GB)",3,13,4030,32,6.22,4.4,14662,1081,8389
365,Ecotel E17,32,0,1000,64,1.8,3.7,9,2,535
366,Kechaoda K35,32,0,1700,32,2.8,4.0,130,14,1300
367,"Tecno Camon i4 (Midnight Black, 64 GB)",4,13,3500,64,6.2,4.3,129,15,13499
368,"OPPO A7 (Glaze Blue, 64 GB)",3,13,4230,64,6.2,4.3,2475,196,16869
369,Heemax H7 Combo of Two Mobiles,32,0,1000,32,1.8,,,,1099
370,Q-Tel Q7,32,0,,32,1.77,3.4,690,77,559
371,"OPPO A7 (Glaze Blue, 64 GB)",4,13,4230,64,6.2,4.4,17945,1278,17500
372,Q-Tel Q7,32,0,,32,1.77,3.4,690,77,559
373,Q-Tel Q7,32,0,,32,1.77,3.4,690,77,559
374,JIVI N201 Selfie,0.032,1,,8,2.4,3.8,175,24,899
375,Lava A7,32,0,1750,24,2.4,4.2,4584,563,1599
376,Heemax H8,512,0,1000,32,1.8,2.7,7,2,569
377,Reach Champ i,32,1,1500,32,1.8,3.5,301,39,950
378,MTR MT 310,64,0,,64,1.8,3.8,55,6,650
379,InFocus Hero Selfie C1,32,1,1000,32,1.8,3.9,552,96,950
380,Vow V103,32,2,,32,1.8,3.0,6,0,659
381,ITEL IT5025,32,0,1200,32,2.4,4.0,204,9,1273
382,Micromax X746,32,0,3000,32,2.4,4.0,5151,629,1199
383,Tork T27 Boom,32,0,2800,32,2.4,,,,1299
384,I Kall K-52,32,0,,64,1.8,3.7,6,0,649
385,Trio T6*,32,1,1000,256,2.4,3.3,1007,156,715
386,Tork X5,32,0,2500,32,2.4,3.2,5,0,999
387,MTR Beat,64,0,2000,64,2.4,4.6,5,0,1599
388,"OPPO A5s (Green, 64 GB)",4,13,4230,64,6.2,4.3,3819,281,14950
389,"Samsung Galaxy A50 (Black, 64 GB)",6,25,4000,64,6.4,4.4,10309,928,24000
390,Peace FM1,64,0,,32,1.8,3.5,539,85,850
391,Trio T4 Flash,32,1,1000,64,1.77,3.5,2116,298,648
392,"Lava Z71 (Ruby Red, 32 GB)",2,13,3200,32,5.71,3.6,57,10,6999
393,Peace P1 Wireless FM,32,0,,32,1.8,3.7,834,84,833
394,Karbonn K-Phone 1,32,1,1400,32,2.4,3.9,2477,339,1489
395,"Samsung Galaxy Note 9 (Ocean Blue, 512 GB)",8,12,4000,512,6.4,4.6,223,24,93000
396,Niamia Cad 4,32,0,1000,32,1.8,4.1,92,12,899
397,I kall k 30,32,0,1000,32,2.4,3.8,68,6,1299
398,MTR Bullet,64,0,2000,64,2.4,4.1,7,2,1300
399,Q-Tel Q8,32,0,,32,1.77,3.4,610,63,559
400,"Redmi Note 7 (Sapphire Blue, 64 GB)",4,12,4000,64,6.3,4.5,174689,16458,15499
401,Gfive Classic,16,0,1050,16,1.8,3.8,179,26,699
402,"Redmi Note 5 Pro (Gold, 64 GB)",6,12,4000,64,5.99,4.5,254093,25272,11699
403,MTR MT Bullet,64,0,1200,64,2.4,4.2,5,0,1499
404,MTR Bullet,64,0,2000,64,2.4,4.1,7,2,1049
405,"Itel 1409 (Black & Gold, 8 GB)",512,2,1500,8,4,3.7,63,8,3100
406,"Nokia 3.1 Plus (Blue, 32 GB)",3,13,3500,32,6,4.2,3790,444,12650
407,"LG W30 Pro (Midnight Blue, 64GB GB)",4,16,4050,64,6.21,4.0,62,13,14990
408,Peace FM1 Combo of Two Mobiles,32,0,,64,1.8,2.8,17,3,1499
409,Peace FM1 Combo of Two Mobiles,32,0,,64,1.8,2.8,17,3,1500
410,Lava Gem,32,1,1750,32,2.8,4.2,231,24,1699
411,nuvo One,32,1,,16,1.8,3.8,575,62,649
412,"Zen Admire Shine (Champagne, 8 GB)",1,2,1750,8,4,3.6,617,95,2749
413,Ziox X73,32,0,1000,32,1.8,3.0,4,0,970
414,Kechaoda K112,32,0,3600,64,2.4,4.0,4560,557,1340
415,InFocus VIBE 2,32,0,1000,32,2.4,4.3,10,3,1129
416,"Moto G6 (Indigo Black, 64 GB)",4,12,3000,64,5.7,4.2,3288,311,20000
417,Lava Prime X,32,1,,32,1.8,4.1,490,75,1389
418,Intex ULTRA F5,10,0,2200,10,2.8,3.8,28,3,1499
419,"OPPO A5s (Red, 32 GB)",2,13,4230,32,6.2,4.3,4647,356,12990
420,"OPPO A5s (Blue, 32 GB)",2,13,4230,32,6.2,4.3,4647,356,12990
421,"OPPO A5s (Black, 32 GB)",3,13,4230,32,6.2,4.3,4127,333,9490
422,Trio T3 Selfie,32,1,1000,64,1.77,3.3,702,106,695
423,Itel it 5622,512,0,2500,4,2.8,3.5,17,0,1456
424,"Mi A3 (Not just Blue, 128 GB)",6,48,4030,128,6.08,4.3,10682,939,16990
425,Karbonn K7 Power,32,0,2700,32,1.8,3.7,1178,142,999
426,Kechaoda K-55 Plus,512,0,,32,1.77,4.0,6363,618,1045
427,Karbonn KX26,32,0,1450,32,2.4,3.9,88,4,1099
